"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,           0,      -5.204927974,      -5.203504632,       -5.95585965,      -5.140079124,      -4.597761973
          0,           0,           1,       -4.68528076,      -4.505883366,      -4.778670438,      -4.639146514,      -4.068892713
          0,           0,           2,      -4.621663131,      -4.426323907,      -4.584884095,      -4.456347019,      -4.010295487
          0,           0,           3,       -4.62225479,      -4.447981779,      -4.504263143,      -4.389727623,       -4.01961091
          0,           0,           4,      -4.584534707,      -4.470813303,      -4.468155409,      -4.345820386,       -3.99194101
          0,           0,           5,      -4.558579985,      -4.469174805,       -4.45112691,      -4.293768995,      -3.970511705
          0,           0,           6,      -4.558896591,      -4.457499507,      -4.443368443,      -4.249329061,       -3.97103795
          0,           0,           7,      -4.572878975,      -4.452966533,      -4.442080981,      -4.225916447,      -3.983314085
          0,           0,           8,      -4.597301807,      -4.471037222,       -4.44395563,      -4.223126336,       -4.00764623
          0,           0,           9,      -4.629100922,      -4.515083215,      -4.444990881,      -4.235819608,      -4.042117132
          0,           0,          10,      -4.655272196,      -4.569839447,      -4.443683153,      -4.258381204,      -4.071123435
          0,           0,          11,      -4.666414468,      -4.610278525,      -4.442096001,      -4.284903941,      -4.082609563
          0,           0,          12,      -4.669057228,      -4.627427692,      -4.443979775,      -4.309650608,       -4.08439997
          0,           0,          13,      -4.674973949,      -4.635023963,      -4.452516276,      -4.329258756,      -4.090649018
          0,           0,          14,      -4.690000361,      -4.647282065,      -4.469071832,      -4.344103206,      -4.107867289
          0,           0,          15,      -4.714214851,      -4.668936701,      -4.493170431,      -4.357053968,      -4.135649282
          0,           0,          16,      -4.745056919,      -4.698836567,      -4.523144089,      -4.371010555,      -4.170610686
          0,           0,          17,      -4.779149564,      -4.733844418,       -4.55700621,      -4.387711131,       -4.20853093
          0,           0,          18,      -4.813262736,      -4.770514156,      -4.593200378,      -4.407657633,      -4.245477547
          0,           0,          19,      -4.845268646,      -4.805962813,          -4.63091,      -4.430533149,      -4.278997327
          0,           0,          20,      -4.874774651,      -4.838534049,      -4.669969626,      -4.455689422,      -4.308905658
          0,           0,          21,      -4.902815929,      -4.868059775,       -4.71043292,       -4.48254659,      -4.336813574
          0,           0,          22,      -4.930686856,      -4.895356413,      -4.752278461,      -4.510782946,      -4.364596239
          0,           0,          23,       -4.95900325,      -4.921560178,       -4.79524313,      -4.540399542,      -4.393235246
          0,           0,          24,        -4.9874066,      -4.947674204,      -4.838909066,      -4.571597383,      -4.422496813
          0,           0,          25,      -5.015001618,       -4.97445802,       -4.88282285,      -4.604627433,       -4.45144329
          0,           0,          26,      -5.041091066,      -5.002467586,      -4.926602104,       -4.63968466,      -4.479257149
          0,           0,          27,      -5.065744072,      -5.032125646,      -4.969985974,      -4.676858748,      -4.505885387
          0,           0,          28,      -5.089796483,      -5.063706885,      -5.012857549,      -4.716043816,      -4.532069379
          0,           0,          29,      -5.114437743,      -5.097332775,      -5.055227193,      -4.757058346,       -4.55892194
          0,           0,          30,      -5.140721185,      -5.132943819,      -5.097195158,      -4.799642505,      -4.587409668
